Season,Region,County,CDC Week,Week Ending Date,Disease,Count,County Centroid,FIPS
2025-2026,METRO,ROCKLAND,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (41.1547851, -74.0247721)",36087
2025-2026,CENTRAL,CORTLAND,3,1/24/2026,INFLUENZA_B,3,"    (42.5938237, -76.0762647)",36023
2025-2026,CAPITAL DISTRICT,MONTGOMERY,3,1/24/2026,INFLUENZA_B,14,"    (42.9008912, -74.4353575)",36057
2025-2026,METRO,ULSTER,3,1/24/2026,INFLUENZA_A,85,"    (41.9472321, -74.265447)",36111
2025-2026,WESTERN,ONTARIO,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.8566949, -77.3032768)",36069
2025-2026,CENTRAL,CAYUGA,3,1/24/2026,INFLUENZA_A,32,"    (43.0085456, -76.5745866)",36011
2025-2026,CAPITAL DISTRICT,GREENE,3,1/24/2026,INFLUENZA_B,3,"    (42.2869511, -74.1494949)",36039
2025-2026,WESTERN,ALLEGANY,3,1/24/2026,INFLUENZA_A,25,"    (42.2478938, -78.0261758)",36003
2025-2026,NYC,NEW YORK,3,1/24/2026,INFLUENZA_UNSPECIFIED,2,"    (40.7831, -73.9712)",36061
2025-2026,CAPITAL DISTRICT,CLINTON,3,1/24/2026,INFLUENZA_B,1,"    (44.7527103, -73.7056478)",36019
2025-2026,CAPITAL DISTRICT,WASHINGTON,3,1/24/2026,INFLUENZA_B,24,"    (43.3123766, -73.4394282)",36115
2025-2026,WESTERN,WAYNE,3,1/24/2026,INFLUENZA_B,1,"    (43.202, -77.0104)",36117
2025-2026,CENTRAL,MADISON,3,1/24/2026,INFLUENZA_A,21,"    (42.9100255, -75.6635749)",36053
2025-2026,CAPITAL DISTRICT,SARATOGA,3,1/24/2026,INFLUENZA_A,66,"    (43.1061353, -73.8553872)",36091
2025-2026,CAPITAL DISTRICT,WARREN,3,1/24/2026,INFLUENZA_B,6,"    (43.5551053, -73.8381388)",36113
2025-2026,WESTERN,LIVINGSTON,3,1/24/2026,INFLUENZA_B,4,"    (42.7274845, -77.7697795)",36051
2025-2026,CENTRAL,ONONDAGA,3,1/24/2026,INFLUENZA_B,95,"    (43.0065299, -76.1961167)",36067
2025-2026,CAPITAL DISTRICT,SARATOGA,3,1/24/2026,INFLUENZA_B,48,"    (43.1061353, -73.8553872)",36091
2025-2026,METRO,DUTCHESS,3,1/24/2026,INFLUENZA_UNSPECIFIED,1,"    (41.7550085, -73.7399512)",36027
2025-2026,CENTRAL,CHENANGO,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.489732, -75.6049051)",36017
2025-2026,CENTRAL,OSWEGO,3,1/24/2026,INFLUENZA_A,31,"    (43.4614428, -76.209258)",36075
2025-2026,WESTERN,NIAGARA,3,1/24/2026,INFLUENZA_A,44,"    (43.203001, -78.71083)",36063
2025-2026,NYC,QUEENS,3,1/24/2026,INFLUENZA_B,89,"    (40.7282, -73.7949)",36081
2025-2026,CAPITAL DISTRICT,HAMILTON,3,1/24/2026,INFLUENZA_A,2,"    (43.6578786, -74.5024556)",36041
2025-2026,NYC,KINGS,3,1/24/2026,INFLUENZA_B,105,"    (40.6782, -73.9442)",36047
2025-2026,WESTERN,SCHUYLER,3,1/24/2026,INFLUENZA_B,0,"    (42.419776, -76.9386038)",36097
2025-2026,WESTERN,SCHUYLER,3,1/24/2026,INFLUENZA_A,21,"    (42.419776, -76.9386038)",36097
2025-2026,CENTRAL,OSWEGO,3,1/24/2026,INFLUENZA_B,7,"    (43.4614428, -76.209258)",36075
2025-2026,NYC,RICHMOND,3,1/24/2026,INFLUENZA_B,33,"    (40.5795, -74.1502)",36085
2025-2026,WESTERN,ORLEANS,3,1/24/2026,INFLUENZA_A,7,"    (43.209007, -78.254897)",36073
2025-2026,NYC,KINGS,3,1/24/2026,INFLUENZA_UNSPECIFIED,2,"    (40.6782, -73.9442)",36047
2025-2026,WESTERN,CHEMUNG,3,1/24/2026,INFLUENZA_A,61,"    (42.1552807, -76.7471788)",36015
2025-2026,WESTERN,CHEMUNG,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.1552807, -76.7471788)",36015
2025-2026,WESTERN,ORLEANS,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (43.209007, -78.254897)",36073
2025-2026,WESTERN,STEUBEN,3,1/24/2026,INFLUENZA_A,52,"    (42.2667252, -77.3855253)",36101
2025-2026,WESTERN,ERIE,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.752759, -78.7781922)",36029
2025-2026,NYC,KINGS,3,1/24/2026,INFLUENZA_A,561,"    (40.6782, -73.9442)",36047
2025-2026,WESTERN,CHAUTAUQUA,3,1/24/2026,INFLUENZA_A,78,"    (42.3042159, -79.4075949)",36013
2025-2026,CAPITAL DISTRICT,COLUMBIA,3,1/24/2026,INFLUENZA_B,3,"    (42.2477286, -73.6268046)",36021
2025-2026,WESTERN,WAYNE,3,1/24/2026,INFLUENZA_A,55,"    (43.202, -77.0104)",36117
2025-2026,CENTRAL,CHENANGO,3,1/24/2026,INFLUENZA_B,1,"    (42.489732, -75.6049051)",36017
2025-2026,NYC,BRONX,3,1/24/2026,INFLUENZA_B,134,"    (40.8448, -73.8648)",36005
2025-2026,CAPITAL DISTRICT,ESSEX,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (44.1089711, -73.7775726)",36031
2025-2026,METRO,NASSAU,3,1/24/2026,INFLUENZA_A,444,"    (40.7506561, -73.582905)",36059
2025-2026,WESTERN,WAYNE,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (43.202, -77.0104)",36117
2025-2026,CENTRAL,OSWEGO,3,1/24/2026,INFLUENZA_UNSPECIFIED,1,"    (43.4614428, -76.209258)",36075
2025-2026,WESTERN,CHAUTAUQUA,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.3042159, -79.4075949)",36013
2025-2026,METRO,SUFFOLK,3,1/24/2026,INFLUENZA_UNSPECIFIED,47,"    (40.943554, -72.6922184)",36103
2025-2026,NYC,QUEENS,3,1/24/2026,INFLUENZA_A,459,"    (40.7282, -73.7949)",36081
2025-2026,CAPITAL DISTRICT,ALBANY,3,1/24/2026,INFLUENZA_UNSPECIFIED,5,"    (42.5882713, -73.9740136)",36001
2025-2026,WESTERN,CATTARAUGUS,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.2448527, -78.6810055)",36009
2025-2026,CAPITAL DISTRICT,MONTGOMERY,3,1/24/2026,INFLUENZA_A,37,"    (42.9008912, -74.4353575)",36057
2025-2026,CENTRAL,JEFFERSON,3,1/24/2026,INFLUENZA_B,2,"    (44.0607, -75.9928)",36045
2025-2026,CAPITAL DISTRICT,FRANKLIN,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (44.5943743, -74.3106698)",36033
2025-2026,NYC,QUEENS,3,1/24/2026,INFLUENZA_UNSPECIFIED,6,"    (40.7282, -73.7949)",36081
2025-2026,NYC,BRONX,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (40.8448, -73.8648)",36005
2025-2026,METRO,WESTCHESTER,3,1/24/2026,INFLUENZA_A,372,"    (41.1527698, -73.745912)",36119
2025-2026,CENTRAL,MADISON,3,1/24/2026,INFLUENZA_UNSPECIFIED,2,"    (42.9100255, -75.6635749)",36053
2025-2026,METRO,SUFFOLK,3,1/24/2026,INFLUENZA_A,459,"    (40.943554, -72.6922184)",36103
2025-2026,WESTERN,YATES,3,1/24/2026,INFLUENZA_A,2,"    (42.6431, -77.1485)",36123
2025-2026,CAPITAL DISTRICT,FRANKLIN,3,1/24/2026,INFLUENZA_A,38,"    (44.5943743, -74.3106698)",36033
2025-2026,CENTRAL,JEFFERSON,3,1/24/2026,INFLUENZA_A,36,"    (44.0607, -75.9928)",36045
2025-2026,CENTRAL,ST LAWRENCE,3,1/24/2026,INFLUENZA_B,0,"    (44.4881125, -75.074311)",36089
2025-2026,WESTERN,YATES,3,1/24/2026,INFLUENZA_B,0,"    (42.6431, -77.1485)",36123
2025-2026,CAPITAL DISTRICT,SCHENECTADY,3,1/24/2026,INFLUENZA_A,41,"    (42.8175421, -74.0435834)",36093
2025-2026,WESTERN,MONROE,3,1/24/2026,INFLUENZA_B,43,"    (43.174966, -77.639663)",36055
2025-2026,CAPITAL DISTRICT,OTSEGO,3,1/24/2026,INFLUENZA_A,33,"    (42.6297762, -75.028841)",36077
2025-2026,CENTRAL,ST LAWRENCE,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (44.4881125, -75.074311)",36089
2025-2026,WESTERN,STEUBEN,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.2667252, -77.3855253)",36101
2025-2026,CAPITAL DISTRICT,FULTON,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (43.1156093, -74.4236782)",36035
2025-2026,WESTERN,WYOMING,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.7013627, -78.2285667)",36121
2025-2026,WESTERN,ERIE,3,1/24/2026,INFLUENZA_B,28,"    (42.752759, -78.7781922)",36029
2025-2026,CAPITAL DISTRICT,SCHOHARIE,3,1/24/2026,INFLUENZA_B,5,"    (42.591294, -74.4381718)",36095
2025-2026,WESTERN,SENECA,3,1/24/2026,INFLUENZA_A,10,"    (42.7652, -76.8721)",36099
2025-2026,WESTERN,GENESEE,3,1/24/2026,INFLUENZA_A,11,"    (43.0009096, -78.1927784)",36037
2025-2026,WESTERN,LIVINGSTON,3,1/24/2026,INFLUENZA_A,19,"    (42.7274845, -77.7697795)",36051
2025-2026,CENTRAL,TOMPKINS,3,1/24/2026,INFLUENZA_B,3,"    (42.4532811, -76.4737116)",36109
2025-2026,WESTERN,CATTARAUGUS,3,1/24/2026,INFLUENZA_B,4,"    (42.2448527, -78.6810055)",36009
2025-2026,CENTRAL,HERKIMER,3,1/24/2026,INFLUENZA_A,34,"    (43.1631, -74.8741)",36043
2025-2026,WESTERN,LIVINGSTON,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.7274845, -77.7697795)",36051
2025-2026,CAPITAL DISTRICT,RENSSELAER,3,1/24/2026,INFLUENZA_B,26,"    (42.7104206, -73.5138454)",36083
2025-2026,CAPITAL DISTRICT,HAMILTON,3,1/24/2026,INFLUENZA_B,0,"    (43.6578786, -74.5024556)",36041
2025-2026,WESTERN,STEUBEN,3,1/24/2026,INFLUENZA_B,0,"    (42.2667252, -77.3855253)",36101
2025-2026,CAPITAL DISTRICT,ALBANY,3,1/24/2026,INFLUENZA_A,86,"    (42.5882713, -73.9740136)",36001
2025-2026,CAPITAL DISTRICT,RENSSELAER,3,1/24/2026,INFLUENZA_A,20,"    (42.7104206, -73.5138454)",36083
2025-2026,WESTERN,ALLEGANY,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.2478938, -78.0261758)",36003
2025-2026,METRO,ROCKLAND,3,1/24/2026,INFLUENZA_B,39,"    (41.1547851, -74.0247721)",36087
2025-2026,CAPITAL DISTRICT,OTSEGO,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.6297762, -75.028841)",36077
2025-2026,CAPITAL DISTRICT,WARREN,3,1/24/2026,INFLUENZA_UNSPECIFIED,6,"    (43.5551053, -73.8381388)",36113
2025-2026,METRO,NASSAU,3,1/24/2026,INFLUENZA_UNSPECIFIED,18,"    (40.7506561, -73.582905)",36059
2025-2026,CAPITAL DISTRICT,HAMILTON,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (43.6578786, -74.5024556)",36041
2025-2026,METRO,WESTCHESTER,3,1/24/2026,INFLUENZA_UNSPECIFIED,19,"    (41.1527698, -73.745912)",36119
2025-2026,WESTERN,WYOMING,3,1/24/2026,INFLUENZA_B,1,"    (42.7013627, -78.2285667)",36121
2025-2026,CAPITAL DISTRICT,WARREN,3,1/24/2026,INFLUENZA_A,14,"    (43.5551053, -73.8381388)",36113
2025-2026,CAPITAL DISTRICT,ESSEX,3,1/24/2026,INFLUENZA_B,0,"    (44.1089711, -73.7775726)",36031
2025-2026,CAPITAL DISTRICT,ESSEX,3,1/24/2026,INFLUENZA_A,51,"    (44.1089711, -73.7775726)",36031
2025-2026,CAPITAL DISTRICT,RENSSELAER,3,1/24/2026,INFLUENZA_UNSPECIFIED,5,"    (42.7104206, -73.5138454)",36083
2025-2026,CAPITAL DISTRICT,CLINTON,3,1/24/2026,INFLUENZA_UNSPECIFIED,2,"    (44.7527103, -73.7056478)",36019
2025-2026,CENTRAL,LEWIS,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (43.7863965, -75.4426165)",36049
2025-2026,CAPITAL DISTRICT,GREENE,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.2869511, -74.1494949)",36039
2025-2026,CAPITAL DISTRICT,WASHINGTON,3,1/24/2026,INFLUENZA_A,24,"    (43.3123766, -73.4394282)",36115
2025-2026,NYC,BRONX,3,1/24/2026,INFLUENZA_A,328,"    (40.8448, -73.8648)",36005
2025-2026,METRO,SULLIVAN,3,1/24/2026,INFLUENZA_A,53,"    (41.7201763, -74.7646796)",36105
2025-2026,CAPITAL DISTRICT,FRANKLIN,3,1/24/2026,INFLUENZA_B,3,"    (44.5943743, -74.3106698)",36033
2025-2026,CENTRAL,LEWIS,3,1/24/2026,INFLUENZA_B,0,"    (43.7863965, -75.4426165)",36049
2025-2026,CAPITAL DISTRICT,FULTON,3,1/24/2026,INFLUENZA_B,7,"    (43.1156093, -74.4236782)",36035
2025-2026,WESTERN,SCHUYLER,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.419776, -76.9386038)",36097
2025-2026,CENTRAL,CHENANGO,3,1/24/2026,INFLUENZA_A,27,"    (42.489732, -75.6049051)",36017
2025-2026,METRO,ROCKLAND,3,1/24/2026,INFLUENZA_A,97,"    (41.1547851, -74.0247721)",36087
2025-2026,METRO,WESTCHESTER,3,1/24/2026,INFLUENZA_B,68,"    (41.1527698, -73.745912)",36119
2025-2026,CAPITAL DISTRICT,DELAWARE,3,1/24/2026,INFLUENZA_B,12,"    (42.1939865, -74.966728)",36025
2025-2026,CAPITAL DISTRICT,SCHOHARIE,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.591294, -74.4381718)",36095
2025-2026,METRO,DUTCHESS,3,1/24/2026,INFLUENZA_A,93,"    (41.7550085, -73.7399512)",36027
2025-2026,WESTERN,NIAGARA,3,1/24/2026,INFLUENZA_B,20,"    (43.203001, -78.71083)",36063
2025-2026,CAPITAL DISTRICT,CLINTON,3,1/24/2026,INFLUENZA_A,18,"    (44.7527103, -73.7056478)",36019
2025-2026,CENTRAL,MADISON,3,1/24/2026,INFLUENZA_B,2,"    (42.9100255, -75.6635749)",36053
2025-2026,CENTRAL,ONONDAGA,3,1/24/2026,INFLUENZA_UNSPECIFIED,2,"    (43.0065299, -76.1961167)",36067
2025-2026,CAPITAL DISTRICT,OTSEGO,3,1/24/2026,INFLUENZA_B,10,"    (42.6297762, -75.028841)",36077
2025-2026,WESTERN,YATES,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.6431, -77.1485)",36123
2025-2026,CAPITAL DISTRICT,ALBANY,3,1/24/2026,INFLUENZA_B,36,"    (42.5882713, -73.9740136)",36001
2025-2026,NYC,NEW YORK,3,1/24/2026,INFLUENZA_B,70,"    (40.7831, -73.9712)",36061
2025-2026,CENTRAL,BROOME,3,1/24/2026,INFLUENZA_A,129,"    (42.1619773, -75.830291)",36007
2025-2026,WESTERN,GENESEE,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (43.0009096, -78.1927784)",36037
2025-2026,CENTRAL,ONONDAGA,3,1/24/2026,INFLUENZA_A,119,"    (43.0065299, -76.1961167)",36067
2025-2026,METRO,PUTNAM,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (41.4351, -73.7949)",36079
2025-2026,METRO,NASSAU,3,1/24/2026,INFLUENZA_B,114,"    (40.7506561, -73.582905)",36059
2025-2026,WESTERN,SENECA,3,1/24/2026,INFLUENZA_B,0,"    (42.7652, -76.8721)",36099
2025-2026,METRO,ORANGE,3,1/24/2026,INFLUENZA_A,203,"    (41.4024096, -74.3062522)",36071
2025-2026,WESTERN,ORLEANS,3,1/24/2026,INFLUENZA_B,0,"    (43.209007, -78.254897)",36073
2025-2026,WESTERN,ALLEGANY,3,1/24/2026,INFLUENZA_B,14,"    (42.2478938, -78.0261758)",36003
2025-2026,CENTRAL,ONEIDA,3,1/24/2026,INFLUENZA_B,7,"    (43.2427273, -75.4342824)",36065
2025-2026,CAPITAL DISTRICT,SARATOGA,3,1/24/2026,INFLUENZA_UNSPECIFIED,7,"    (43.1061353, -73.8553872)",36091
2025-2026,CENTRAL,TIOGA,3,1/24/2026,INFLUENZA_B,3,"    (42.1256, -76.3637)",36107
2025-2026,METRO,ORANGE,3,1/24/2026,INFLUENZA_B,39,"    (41.4024096, -74.3062522)",36071
2025-2026,WESTERN,GENESEE,3,1/24/2026,INFLUENZA_B,1,"    (43.0009096, -78.1927784)",36037
2025-2026,CENTRAL,CAYUGA,3,1/24/2026,INFLUENZA_UNSPECIFIED,1,"    (43.0085456, -76.5745866)",36011
2025-2026,METRO,SULLIVAN,3,1/24/2026,INFLUENZA_B,0,"    (41.7201763, -74.7646796)",36105
2025-2026,METRO,PUTNAM,3,1/24/2026,INFLUENZA_A,46,"    (41.4351, -73.7949)",36079
2025-2026,CENTRAL,TIOGA,3,1/24/2026,INFLUENZA_A,36,"    (42.1256, -76.3637)",36107
2025-2026,METRO,ULSTER,3,1/24/2026,INFLUENZA_B,21,"    (41.9472321, -74.265447)",36111
2025-2026,WESTERN,ERIE,3,1/24/2026,INFLUENZA_A,102,"    (42.752759, -78.7781922)",36029
2025-2026,METRO,SULLIVAN,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (41.7201763, -74.7646796)",36105
2025-2026,METRO,PUTNAM,3,1/24/2026,INFLUENZA_B,4,"    (41.4351, -73.7949)",36079
2025-2026,CENTRAL,CORTLAND,3,1/24/2026,INFLUENZA_UNSPECIFIED,0,"    (42.5938237, -76.0762647)",36023
2025-2026,NYC,RICHMOND,3,1/24/2026,INFLUENZA_UNSPECIFIED,8,"    (40.5795, -74.1502)",36085
2025-2026,WESTERN,LIVINGSTON,2,1/17/2026,INFLUENZA_B,0,"    (42.7274845, -77.7697795)",36051
2025-2026,CENTRAL,HERKIMER,2,1/17/2026,INFLUENZA_A,32,"    (43.1631, -74.8741)",36043
2025-2026,WESTERN,WAYNE,2,1/17/2026,INFLUENZA_UNSPECIFIED,0,"    (43.202, -77.0104)",36117
2025-2026,CENTRAL,JEFFERSON,2,1/17/2026,INFLUENZA_A,83,"    (44.0607, -75.9928)",36045
2025-2026,METRO,NASSAU,2,1/17/2026,INFLUENZA_A,910,"    (40.7506561, -73.582905)",36059
2025-2026,CAPITAL DISTRICT,DELAWARE,2,1/17/2026,INFLUENZA_B,3,"    (42.1939865, -74.966728)",36025
2025-2026,WESTERN,ONTARIO,2,1/17/2026,INFLUENZA_B,6,"    (42.8566949, -77.3032768)",36069
2025-2026,CENTRAL,ONEIDA,2,1/17/2026,INFLUENZA_A,150,"    (43.2427273, -75.4342824)",36065
2025-2026,CENTRAL,ST LAWRENCE,2,1/17/2026,INFLUENZA_B,1,"    (44.4881125, -75.074311)",36089
2025-2026,CAPITAL DISTRICT,SCHENECTADY,2,1/17/2026,INFLUENZA_A,104,"    (42.8175421, -74.0435834)",36093
2025-2026,CAPITAL DISTRICT,FULTON,2,1/17/2026,INFLUENZA_B,6,"    (43.1156093, -74.4236782)",36035
2025-2026,WESTERN,SCHUYLER,2,1/17/2026,INFLUENZA_A,19,"    (42.419776, -76.9386038)",36097
2025-2026,CENTRAL,ONONDAGA,2,1/17/2026,INFLUENZA_B,43,"    (43.0065299, -76.1961167)",36067
2025-2026,CAPITAL DISTRICT,WASHINGTON,2,1/17/2026,INFLUENZA_A,46,"    (43.3123766, -73.4394282)",36115
2025-2026,CAPITAL DISTRICT,SCHENECTADY,2,1/17/2026,INFLUENZA_UNSPECIFIED,2,"    (42.8175421, -74.0435834)",36093
2025-2026,WESTERN,CATTARAUGUS,2,1/17/2026,INFLUENZA_B,1,"    (42.2448527, -78.6810055)",36009
2025-2026,NYC,KINGS,2,1/17/2026,INFLUENZA_UNSPECIFIED,6,"    (40.6782, -73.9442)",36047
2025-2026,WESTERN,WYOMING,2,1/17/2026,INFLUENZA_UNSPECIFIED,0,"    (42.7013627, -78.2285667)",36121
2025-2026,CAPITAL DISTRICT,ESSEX,2,1/17/2026,INFLUENZA_UNSPECIFIED,1,"    (44.1089711, -73.7775726)",36031
2025-2026,CAPITAL DISTRICT,GREENE,2,1/17/2026,INFLUENZA_UNSPECIFIED,0,"    (42.2869511, -74.1494949)",36039
2025-2026,METRO,PUTNAM,2,1/17/2026,INFLUENZA_B,5,"    (41.4351, -73.7949)",36079
2025-2026,WESTERN,WAYNE,2,1/17/2026,INFLUENZA_A,80,"    (43.202, -77.0104)",36117
2025-2026,NYC,RICHMOND,2,1/17/2026,INFLUENZA_UNSPECIFIED,24,"    (40.5795, -74.1502)",36085
2025-2026,CENTRAL,TIOGA,2,1/17/2026,INFLUENZA_A,43,"    (42.1256, -76.3637)",36107
2025-2026,METRO,WESTCHESTER,2,1/17/2026,INFLUENZA_A,731,"    (41.1527698, -73.745912)",36119
2025-2026,METRO,NASSAU,2,1/17/2026,INFLUENZA_UNSPECIFIED,110,"    (40.7506561, -73.582905)",36059
2025-2026,CENTRAL,OSWEGO,2,1/17/2026,INFLUENZA_UNSPECIFIED,0,"    (43.4614428, -76.209258)",36075
2025-2026,CAPITAL DISTRICT,ALBANY,2,1/17/2026,INFLUENZA_B,35,"    (42.5882713, -73.9740136)",36001
2025-2026,CENTRAL,CORTLAND,2,1/17/2026,INFLUENZA_UNSPECIFIED,0,"    (42.5938237, -76.0762647)",36023
2025-2026,NYC,QUEENS,2,1/17/2026,INFLUENZA_UNSPECIFIED,56,"    (40.7282, -73.7949)",36081
2025-2026,CAPITAL DISTRICT,WARREN,2,1/17/2026,INFLUENZA_UNSPECIFIED,7,"    (43.5551053, -73.8381388)",36113
2025-2026,CENTRAL,JEFFERSON,2,1/17/2026,INFLUENZA_UNSPECIFIED,4,"    (44.0607, -75.9928)",36045
